[Fri Jul 17 16:10:05 2026] USER: pragyan || ACTION: LOGOUT || STATUS: SUCCESS 
[Fri Jul 17 16:10:07 2026] USER: GUEST || ACTION: READ FILE || STATUS: ACCESS DENIED 
[Fri Jul 17 16:10:11 2026] USER: pragyan || ACTION: LOGIN || STATUS: SUCCESS 
[Fri Jul 17 16:10:15 2026] USER: pragyan || ACTION: READ FILE || STATUS: ACCESS DENIED 
[Fri Jul 17 16:10:17 2026] USER: pragyan || ACTION: READ FILE || STATUS: ACCESS DENIED 
[Fri Jul 17 16:10:26 2026] USER: root || ACTION: LOGIN || STATUS: SUCCESS 
[Fri Jul 17 16:10:27 2026] USER: root || ACTION: READ FILE || STATUS: SUCCESS 
[Fri Jul 17 16:10:30 2026] USER: root || ACTION: READ FILE || STATUS: SUCCESS 
[Fri Jul 17 16:10:38 2026] USER: pragyan || ACTION: LOGIN || STATUS: INCORRECT CREDS 
[Fri Jul 17 16:10:46 2026] USER: root || ACTION: LOGOUT || STATUS: SUCCESS 
[Fri Jul 17 16:10:50 2026] USER: pragyan || ACTION: LOGIN || STATUS: SUCCESS 
[Fri Jul 17 16:10:51 2026] USER: pragyan || ACTION: READ FILE || STATUS: ACCESS DENIED 
[Fri Jul 17 16:11:11 2026] USER: root || ACTION: LOGIN || STATUS: SUCCESS 
[Fri Jul 17 16:11:19 2026] USER: root || ACTION: CREATE USER || STATUS: SUCCESS 
[Fri Jul 17 16:11:23 2026] USER: pragyan || ACTION: LOGIN || STATUS: SUCCESS 
[Fri Jul 17 16:11:29 2026] USER: pragyan || ACTION: CREATE FILE || STATUS: SUCCESS 
[Fri Jul 17 16:11:34 2026] USER: pragyan || ACTION: READ FILE || STATUS: SUCCESS 
[Fri Jul 17 16:11:36 2026] USER: pragyan || ACTION: LOGOUT || STATUS: SUCCESS 
[Fri Jul 17 16:11:39 2026] USER: pragyan || ACTION: LOGIN || STATUS: SUCCESS 
